Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Vanuatu Meteorological Services,Weather Forecasting Monitoring and Research,Observation Section,1764536,,,,,1764536
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Vanuatu Meteorological Services,Geo-hazard,,1117000,,,,,1117000
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Energy,Energy Management and assessment,,12829785,,,,,12829785
Vanuatu,Constitutional Agencies,Presidential Support,,,39616402,,,,,39616402
Vanuatu,Constitutional Agencies,Office of the Ombudsman,,,36503195,,,,,36503195
Vanuatu,Prime Ministers Ministry,Special Commissions,,,5471235,,,,,5471235
Vanuatu,Prime Ministers Ministry,Parliamentary Secretariat,,,13000000,,,,,13000000
Vanuatu,Ministry of Education,Teaching Services Commission & Other Education Commissions and Councils,,,103782955,,,,,103782955
Vanuatu,Ministry of Internal Affairs,Police Service Commission,,,7397977,,,,,7397977
Vanuatu,Payments on Behalf of Government,Public Debt Provisions,,,2586739713,,,,,2586739713
Vanuatu,Payments on Behalf of Government,Central Payments,,,130215728,,,,,130215728
Vanuatu,Payments on Behalf of Government,Former Leaders Payment,,,4850000,,,,,4850000
Vanuatu,Grants to Institutions,Vanuatu Tourism Office (VTO),,,159989780,,,,,159989780
Vanuatu,Grants to Institutions,Vanuatu Agricultural Research and Training Centre (VARTC),,,39692438,,,,,39692438
Vanuatu,Grants to Institutions,Vanuatu Broadcasting and Television Corporation (VBTC),,,60193317,,,,,60193317
Vanuatu,Grants to Institutions,Vanuatu Cultural Centre (VCC),,,26291633,,,,,26291633
Vanuatu,Grants to Institutions,Chamber of Commerce and Industry (CCI),,,30000000,,,,,30000000
Vanuatu,Grants to Institutions,Grant SPBEA and USP,,,134200000,,,,,134200000
Vanuatu,Grants to Institutions,Vanuatu Maritime Administration (VMA),,,15000000,,,,,15000000
Vanuatu,Grants to Institutions,Vanuatu Maritime College,,,41255243,,,,,41255243
Vanuatu,Grants to Institutions,Utility Regulatory Authority,,,22226099,,,,,22226099
Vanuatu,Grants to Institutions,Vanuatu Agriculture College,,,82800392,,,,,82800392
Vanuatu,Grants to Institutions,Grant to VIPA,,,38668264,,,,,38668264
Vanuatu,Grants to Institutions,Grant to Vanuatu National Archives,,,10400000,,,,,10400000
Vanuatu,Ministry of Infrastructure and Public Utilities,Ministerial  Cabinet Support,,,50782196,,,,,50782196
Vanuatu,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,,55124534,,,,,55124534
Vanuatu,Ministry of Foreign Affairs and External Trade,External Trade Negotiation and Development,,,32908355,,,,,32908355
Vanuatu,Ministry of Youth Development and Training,Ministry Cabinet,,,37765921,,,,,37765921
Vanuatu,Ministry of Justice and Community Service,Womens Affairs,,,36799825,,,,,36799825
Vanuatu,Ministry of Justice and Community Service,Lands Tribunal,,,21100755,,,,,21100755
Vanuatu,Ministry of Justice and Community Service,Law Reform Commission,,,11231080,,,,,11231080
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Executive Management & Corporate Services,,,13656238,,,,,13656238
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,National Disaster Management,,,24424224,,,,,24424224
Vanuatu,Ministry of Infrastructure and Public Utilities,Vanuatu Meterological Services,,,0,,,,,0
,,,,,,,,,,0
